Time=0 | clka=0 addra=0000 wea=0 dina=0 || clkb=0 addrb=0000 doutb=0
Time=5000 | clka=1 addra=0000 wea=0 dina=0 || clkb=0 addrb=0000 doutb=0
Time=7000 | clka=1 addra=0000 wea=0 dina=0 || clkb=1 addrb=0000 doutb=0
Time=10000 | clka=0 addra=0000 wea=0 dina=0 || clkb=1 addrb=0000 doutb=0
Time=14000 | clka=0 addra=0000 wea=0 dina=0 || clkb=0 addrb=0000 doutb=0
Time=15000 | clka=1 addra=0000 wea=0 dina=0 || clkb=0 addrb=0000 doutb=0

Test 1: Basic Write on Port A and Read from Port B
Time=20000 | clka=0 addra=0001 wea=1 dina=1 || clkb=0 addrb=0000 doutb=0
Time=21000 | clka=0 addra=0001 wea=1 dina=1 || clkb=1 addrb=0000 doutb=0
Time=25000 | clka=1 addra=0001 wea=1 dina=1 || clkb=1 addrb=0000 doutb=0
Time=28000 | clka=1 addra=0001 wea=1 dina=1 || clkb=0 addrb=0000 doutb=0
Time=30000 | clka=0 addra=0001 wea=0 dina=0 || clkb=0 addrb=0000 doutb=0
Time=35000 | clka=1 addra=0001 wea=0 dina=0 || clkb=1 addrb=0000 doutb=0
Time=40000 | clka=0 addra=0001 wea=0 dina=0 || clkb=1 addrb=0000 doutb=0
Time=42000 | clka=0 addra=0001 wea=0 dina=0 || clkb=0 addrb=0000 doutb=0
Time=45000 | clka=1 addra=0001 wea=0 dina=0 || clkb=0 addrb=0000 doutb=0
Time=49000 | clka=1 addra=0001 wea=0 dina=0 || clkb=1 addrb=0000 doutb=0
Time=50000 | clka=0 addra=0001 wea=0 dina=0 || clkb=1 addrb=0000 doutb=0
Time=55000 | clka=1 addra=0001 wea=0 dina=0 || clkb=1 addrb=0000 doutb=0
Time=56000 | clka=1 addra=0001 wea=0 dina=0 || clkb=0 addrb=0000 doutb=0
Time=60000 | clka=0 addra=0001 wea=0 dina=0 || clkb=0 addrb=0001 doutb=0
Time=63000 | clka=0 addra=0001 wea=0 dina=0 || clkb=1 addrb=0001 doutb=0
Time=65000 | clka=1 addra=0001 wea=0 dina=0 || clkb=1 addrb=0001 doutb=0
Time=70000 | clka=0 addra=0001 wea=0 dina=0 || clkb=0 addrb=0001 doutb=0
Time=75000 | clka=1 addra=0001 wea=0 dina=0 || clkb=0 addrb=0001 doutb=0
Time=77000 | clka=1 addra=0001 wea=0 dina=0 || clkb=1 addrb=0001 doutb=0
Time=77000 | clka=1 addra=0001 wea=0 dina=0 || clkb=1 addrb=0001 doutb=1
Time=80000 | clka=0 addra=0001 wea=0 dina=0 || clkb=1 addrb=0001 doutb=1
Time=84000 | clka=0 addra=0001 wea=0 dina=0 || clkb=0 addrb=0001 doutb=1
Time=85000 | clka=1 addra=0001 wea=0 dina=0 || clkb=0 addrb=0001 doutb=1

Test 2: Writing to Multiple Locations and Reading
Time=90000 | clka=0 addra=00a0 wea=1 dina=1 || clkb=0 addrb=0001 doutb=1
Time=91000 | clka=0 addra=00a0 wea=1 dina=1 || clkb=1 addrb=0001 doutb=1
Time=95000 | clka=1 addra=00a0 wea=1 dina=1 || clkb=1 addrb=0001 doutb=1
Time=98000 | clka=1 addra=00a0 wea=1 dina=1 || clkb=0 addrb=0001 doutb=1
